ID,Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
47,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
48,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
49,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The event happened,The author disagrees,C,Inference: it happened.
50,Mathematics Knowledge (MK),What is 15% of 200?,35,25,30,20,C,15% of 200 = 0.15 × 200 = 30.
51,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
52,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
53,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Clear,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
54,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,A is false,C is wrong,D is accurate,D,The passage directly supports D.
55,Mathematics Knowledge (MK),What is the square root of 81?,8,7,10,9,D,9 × 9 = 81.
56,General Science (GS),What is the basic unit of life?,Atom,Tissue,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
57,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,45 mph,40 mph,60 mph,B,60 ÷ 1.5 = 40 mph.
58,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Angry,Joyful,Tired,C,'Elated' means extremely happy or joyful.
59,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Confuse,Entertain,Inform,D,The text provides facts and information.
60,Mathematics Knowledge (MK),What is the square root of 81?,9,8,7,10,A,9 × 9 = 81.
61,General Science (GS),What is the basic unit of life?,Tissue,Cell,Organ,Atom,B,The cell is the basic structural and functional unit of all organisms.
62,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,20 mpg,35 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
63,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Angry,Joyful,Sad,C,'Elated' means extremely happy or joyful.
64,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,None of the above,The author disagrees,B,Inference: it happened.
65,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,2,5,3,A,"2x = 6, x = 3."
66,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen,A,Plants absorb carbon dioxide during photosynthesis.
67,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,30 mpg,25 mpg,C,375 ÷ 15 = 25 mpg.
68,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Display,Show,A,To conceal is to hide something.
69,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Confuse,Entertain,B,The text provides facts and information.
70,Mathematics Knowledge (MK),What is 15% of 200?,30,25,20,35,A,15% of 200 = 0.15 × 200 = 30.
71,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Hydrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
72,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$65,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
73,Word Knowledge (WK),'Conceal' means to:,Show,Display,Hide,Reveal,C,To conceal is to hide something.
74,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Entertain,Confuse,B,The text provides facts and information.
75,Mathematics Knowledge (MK),What is 15% of 200?,35,30,20,25,B,15% of 200 = 0.15 × 200 = 30.
76,General Science (GS),What is the basic unit of life?,Tissue,Organ,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
77,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
78,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Reveal,Display,B,To conceal is to hide something.
79,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Entertain,Inform,Persuade,C,The text provides facts and information.
80,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
81,General Science (GS),What is the basic unit of life?,Cell,Atom,Organ,Tissue,A,The cell is the basic structural and functional unit of all organisms.
82,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,45 mph,60 mph,C,60 ÷ 1.5 = 40 mph.
83,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
84,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Entertain,Inform,Confuse,C,The text provides facts and information.
85,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
86,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,A,Plants absorb carbon dioxide during photosynthesis.
87,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,35 mpg,25 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
88,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Sad,Joyful,Angry,C,'Elated' means extremely happy or joyful.
89,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,C is wrong,B is true,A is false,A,The passage directly supports D.
90,Mathematics Knowledge (MK),What is 15% of 200?,20,30,25,35,B,15% of 200 = 0.15 × 200 = 30.
91,General Science (GS),What is the basic unit of life?,Tissue,Cell,Organ,Atom,B,The cell is the basic structural and functional unit of all organisms.
92,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,20 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
93,Word Knowledge (WK),'Conceal' means to:,Hide,Show,Display,Reveal,A,To conceal is to hide something.
94,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,B is true,D is accurate,C is wrong,C,The passage directly supports D.
95,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,3,2,4,D,"2x = 6, x = 3."
96,General Science (GS),What is the basic unit of life?,Organ,Atom,Tissue,Cell,D,The cell is the basic structural and functional unit of all organisms.
97,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,20 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
98,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Sad,Angry,Tired,A,'Elated' means extremely happy or joyful.
99,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,D is accurate,C is wrong,B is true,B,The passage directly supports D.
100,Mathematics Knowledge (MK),What is the square root of 81?,7,9,10,8,B,9 × 9 = 81.
101,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
102,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,20 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
103,Word Knowledge (WK),'Conceal' means to:,Display,Show,Reveal,Hide,D,To conceal is to hide something.
104,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Inform,Entertain,Persuade,B,The text provides facts and information.
105,Mathematics Knowledge (MK),What is 15% of 200?,35,25,30,20,C,15% of 200 = 0.15 × 200 = 30.
106,General Science (GS),What is the basic unit of life?,Tissue,Atom,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
107,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,40 mph,60 mph,A,60 ÷ 1.5 = 40 mph.
108,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Clear,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
109,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Persuade,Inform,D,The text provides facts and information.
110,Mathematics Knowledge (MK),What is 15% of 200?,20,30,25,35,B,15% of 200 = 0.15 × 200 = 30.
111,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
112,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$60,$65,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
113,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Joyful,Tired,C,'Elated' means extremely happy or joyful.
114,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The author disagrees,It’s raining,The event happened,D,Inference: it happened.
115,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,4,5,C,"2x = 6, x = 3."
116,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
117,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,60 mph,50 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
118,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Colorful,Bright,Clear,A,"'Vivid' means bright or intense, opposite is dull."
119,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
120,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,3,2,5,A,"2x = 6, x = 3."
121,General Science (GS),What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the basic structural and functional unit of all organisms.
122,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,50 mph,45 mph,60 mph,C,60 ÷ 1.5 = 40 mph.
123,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Colorful,Clear,Dull,D,"'Vivid' means bright or intense, opposite is dull."
124,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
125,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,3,4,2,C,"2x = 6, x = 3."
126,General Science (GS),What planet is known as the Red Planet?,Earth,Jupiter,Mars,Venus,C,Mars is often called the Red Planet due to its reddish appearance.
127,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,45 mph,60 mph,C,60 ÷ 1.5 = 40 mph.
128,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Sad,Joyful,Angry,C,'Elated' means extremely happy or joyful.
129,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,D is accurate,C is wrong,A is false,B,The passage directly supports D.
130,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
131,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Jupiter,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
132,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
133,Word Knowledge (WK),'Conceal' means to:,Reveal,Show,Display,Hide,D,To conceal is to hide something.
134,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The event happened,The author disagrees,C,Inference: it happened.
135,Mathematics Knowledge (MK),What is the square root of 81?,9,10,8,7,A,9 × 9 = 81.
136,General Science (GS),What is the basic unit of life?,Atom,Tissue,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
137,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
138,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Sad,Angry,Tired,A,'Elated' means extremely happy or joyful.
139,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Entertain,Inform,Confuse,C,The text provides facts and information.
140,Mathematics Knowledge (MK),What is the square root of 81?,7,9,8,10,B,9 × 9 = 81.
141,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
142,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$75,$70,B,"25% of 80 is 20, so 80 - 20 = 60."
143,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Reveal,Display,B,To conceal is to hide something.
144,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Entertain,Persuade,Inform,D,The text provides facts and information.
145,Mathematics Knowledge (MK),What is 15% of 200?,30,25,20,35,A,15% of 200 = 0.15 × 200 = 30.
146,General Science (GS),What is the basic unit of life?,Organ,Atom,Cell,Tissue,C,The cell is the basic structural and functional unit of all organisms.
147,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
148,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Tired,Sad,Angry,A,'Elated' means extremely happy or joyful.
149,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,None of the above,The author disagrees,B,Inference: it happened.
150,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,5,4,D,"2x = 6, x = 3."
151,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
152,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
153,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Display,Reveal,B,To conceal is to hide something.
154,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Entertain,Inform,D,The text provides facts and information.
155,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,2,4,D,"2x = 6, x = 3."
156,General Science (GS),What planet is known as the Red Planet?,Jupiter,Earth,Mars,Venus,C,Mars is often called the Red Planet due to its reddish appearance.
157,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
158,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Bright,Dull,Colorful,C,"'Vivid' means bright or intense, opposite is dull."
159,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,It’s raining,None of the above,A,Inference: it happened.
160,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,4,2,C,"2x = 6, x = 3."
161,General Science (GS),What is the basic unit of life?,Tissue,Cell,Atom,Organ,B,The cell is the basic structural and functional unit of all organisms.
162,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,20 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
163,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Tired,Sad,Joyful,D,'Elated' means extremely happy or joyful.
164,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The author disagrees,The event happened,D,Inference: it happened.
165,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,3,2,A,"2x = 6, x = 3."
166,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
167,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,60 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
168,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Clear,Colorful,Dull,D,"'Vivid' means bright or intense, opposite is dull."
169,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Confuse,Inform,Entertain,C,The text provides facts and information.
170,Mathematics Knowledge (MK),What is 15% of 200?,25,30,35,20,B,15% of 200 = 0.15 × 200 = 30.
171,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
172,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,30 mpg,20 mpg,25 mpg,B,375 ÷ 15 = 25 mpg.
173,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Tired,Joyful,D,'Elated' means extremely happy or joyful.
174,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The event happened,The author disagrees,C,Inference: it happened.
175,Mathematics Knowledge (MK),What is the square root of 81?,9,7,8,10,A,9 × 9 = 81.
176,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Nitrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
177,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$60,$75,C,"25% of 80 is 20, so 80 - 20 = 60."
178,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Clear,Bright,B,"'Vivid' means bright or intense, opposite is dull."
179,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,It’s raining,None of the above,The author disagrees,A,Inference: it happened.
180,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
181,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Nitrogen,Oxygen,Hydrogen,A,Plants absorb carbon dioxide during photosynthesis.
182,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
183,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Colorful,Bright,Clear,A,"'Vivid' means bright or intense, opposite is dull."
184,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,None of the above,It’s raining,A,Inference: it happened.
185,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,2,5,4,D,"2x = 6, x = 3."
186,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide during photosynthesis.
187,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,30 mpg,35 mpg,25 mpg,B,375 ÷ 15 = 25 mpg.
188,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
189,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,C is wrong,A is false,D is accurate,D,The passage directly supports D.
190,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,4,3,5,B,"2x = 6, x = 3."
191,General Science (GS),What planet is known as the Red Planet?,Mars,Venus,Earth,Jupiter,A,Mars is often called the Red Planet due to its reddish appearance.
192,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,20 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
193,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Joyful,Sad,Angry,B,'Elated' means extremely happy or joyful.
194,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,D is accurate,A is false,B is true,B,The passage directly supports D.
195,Mathematics Knowledge (MK),What is the square root of 81?,7,8,10,9,D,9 × 9 = 81.
196,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Jupiter,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
197,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
198,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Colorful,Clear,Bright,A,"'Vivid' means bright or intense, opposite is dull."
199,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,B is true,D is accurate,C is wrong,C,The passage directly supports D.
200,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
201,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
202,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,20 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
203,Word Knowledge (WK),'Conceal' means to:,Show,Reveal,Hide,Display,C,To conceal is to hide something.
