Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 58 + 59?,61,62,60,63,A,The result of 58 + 59 is 61.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 59 + 60?,62,63,61,64,A,The result of 59 + 60 is 62.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 60 + 61?,63,64,62,65,A,The result of 60 + 61 is 63.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 61 + 62?,64,65,63,66,A,The result of 61 + 62 is 64.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 62 + 63?,65,66,64,67,A,The result of 62 + 63 is 65.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 63 + 64?,66,67,65,68,A,The result of 63 + 64 is 66.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 64 + 65?,67,68,66,69,A,The result of 64 + 65 is 67.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 65 + 66?,68,69,67,70,A,The result of 65 + 66 is 68.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 66 + 67?,69,70,68,71,A,The result of 66 + 67 is 69.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 67 + 68?,70,71,69,72,A,The result of 67 + 68 is 70.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 68 + 69?,71,72,70,73,A,The result of 68 + 69 is 71.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 69 + 70?,72,73,71,74,A,The result of 69 + 70 is 72.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 70 + 71?,73,74,72,75,A,The result of 70 + 71 is 73.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 71 + 72?,74,75,73,76,A,The result of 71 + 72 is 74.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 72 + 73?,75,76,74,77,A,The result of 72 + 73 is 75.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 73 + 74?,76,77,75,78,A,The result of 73 + 74 is 76.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 74 + 75?,77,78,76,79,A,The result of 74 + 75 is 77.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 75 + 76?,78,79,77,80,A,The result of 75 + 76 is 78.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 76 + 77?,79,80,78,81,A,The result of 76 + 77 is 79.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 77 + 78?,80,81,79,82,A,The result of 77 + 78 is 80.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 78 + 79?,81,82,80,83,A,The result of 78 + 79 is 81.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 79 + 80?,82,83,81,84,A,The result of 79 + 80 is 82.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 80 + 81?,83,84,82,85,A,The result of 80 + 81 is 83.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 81 + 82?,84,85,83,86,A,The result of 81 + 82 is 84.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 82 + 83?,85,86,84,87,A,The result of 82 + 83 is 85.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 83 + 84?,86,87,85,88,A,The result of 83 + 84 is 86.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 84 + 85?,87,88,86,89,A,The result of 84 + 85 is 87.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 85 + 86?,88,89,87,90,A,The result of 85 + 86 is 88.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 86 + 87?,89,90,88,91,A,The result of 86 + 87 is 89.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 87 + 88?,90,91,89,92,A,The result of 87 + 88 is 90.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 88 + 89?,91,92,90,93,A,The result of 88 + 89 is 91.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 89 + 90?,92,93,91,94,A,The result of 89 + 90 is 92.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 90 + 91?,93,94,92,95,A,The result of 90 + 91 is 93.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 91 + 92?,94,95,93,96,A,The result of 91 + 92 is 94.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 92 + 93?,95,96,94,97,A,The result of 92 + 93 is 95.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 93 + 94?,96,97,95,98,A,The result of 93 + 94 is 96.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 94 + 95?,97,98,96,99,A,The result of 94 + 95 is 97.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 95 + 96?,98,99,97,100,A,The result of 95 + 96 is 98.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 96 + 97?,99,100,98,101,A,The result of 96 + 97 is 99.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 97 + 98?,100,101,99,102,A,The result of 97 + 98 is 100.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 98 + 99?,101,102,100,103,A,The result of 98 + 99 is 101.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 99 + 100?,102,103,101,104,A,The result of 99 + 100 is 102.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 100 + 101?,103,104,102,105,A,The result of 100 + 101 is 103.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 101 + 102?,104,105,103,106,A,The result of 101 + 102 is 104.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 102 + 103?,105,106,104,107,A,The result of 102 + 103 is 105.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 103 + 104?,106,107,105,108,A,The result of 103 + 104 is 106.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 104 + 105?,107,108,106,109,A,The result of 104 + 105 is 107.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 105 + 106?,108,109,107,110,A,The result of 105 + 106 is 108.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 106 + 107?,109,110,108,111,A,The result of 106 + 107 is 109.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 107 + 108?,110,111,109,112,A,The result of 107 + 108 is 110.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 108 + 109?,111,112,110,113,A,The result of 108 + 109 is 111.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 109 + 110?,112,113,111,114,A,The result of 109 + 110 is 112.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 110 + 111?,113,114,112,115,A,The result of 110 + 111 is 113.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 111 + 112?,114,115,113,116,A,The result of 111 + 112 is 114.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 112 + 113?,115,116,114,117,A,The result of 112 + 113 is 115.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR): What is the result of 113 + 114?,116,117,115,118,A,The result of 113 + 114 is 116.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 2 + 3?,5,6,4,7,A,The result of 2 + 3 is 5.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 3 + 4?,6,7,5,8,A,The result of 3 + 4 is 6.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 4 + 5?,7,8,6,9,A,The result of 4 + 5 is 7.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 5 + 6?,8,9,7,10,A,The result of 5 + 6 is 8.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 6 + 7?,9,10,8,11,A,The result of 6 + 7 is 9.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 7 + 8?,10,11,9,12,A,The result of 7 + 8 is 10.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 8 + 9?,11,12,10,13,A,The result of 8 + 9 is 11.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 9 + 10?,12,13,11,14,A,The result of 9 + 10 is 12.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 10 + 11?,13,14,12,15,A,The result of 10 + 11 is 13.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 11 + 12?,14,15,13,16,A,The result of 11 + 12 is 14.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 12 + 13?,15,16,14,17,A,The result of 12 + 13 is 15.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 13 + 14?,16,17,15,18,A,The result of 13 + 14 is 16.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 14 + 15?,17,18,16,19,A,The result of 14 + 15 is 17.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 15 + 16?,18,19,17,20,A,The result of 15 + 16 is 18.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 16 + 17?,19,20,18,21,A,The result of 16 + 17 is 19.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 17 + 18?,20,21,19,22,A,The result of 17 + 18 is 20.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 18 + 19?,21,22,20,23,A,The result of 18 + 19 is 21.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 19 + 20?,22,23,21,24,A,The result of 19 + 20 is 22.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 20 + 21?,23,24,22,25,A,The result of 20 + 21 is 23.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 21 + 22?,24,25,23,26,A,The result of 21 + 22 is 24.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 22 + 23?,25,26,24,27,A,The result of 22 + 23 is 25.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 23 + 24?,26,27,25,28,A,The result of 23 + 24 is 26.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 24 + 25?,27,28,26,29,A,The result of 24 + 25 is 27.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 25 + 26?,28,29,27,30,A,The result of 25 + 26 is 28.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 26 + 27?,29,30,28,31,A,The result of 26 + 27 is 29.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 27 + 28?,30,31,29,32,A,The result of 27 + 28 is 30.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 28 + 29?,31,32,30,33,A,The result of 28 + 29 is 31.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 29 + 30?,32,33,31,34,A,The result of 29 + 30 is 32.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 30 + 31?,33,34,32,35,A,The result of 30 + 31 is 33.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 31 + 32?,34,35,33,36,A,The result of 31 + 32 is 34.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 32 + 33?,35,36,34,37,A,The result of 32 + 33 is 35.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 33 + 34?,36,37,35,38,A,The result of 33 + 34 is 36.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 34 + 35?,37,38,36,39,A,The result of 34 + 35 is 37.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 35 + 36?,38,39,37,40,A,The result of 35 + 36 is 38.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 36 + 37?,39,40,38,41,A,The result of 36 + 37 is 39.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 37 + 38?,40,41,39,42,A,The result of 37 + 38 is 40.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 38 + 39?,41,42,40,43,A,The result of 38 + 39 is 41.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 39 + 40?,42,43,41,44,A,The result of 39 + 40 is 42.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 40 + 41?,43,44,42,45,A,The result of 40 + 41 is 43.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 41 + 42?,44,45,43,46,A,The result of 41 + 42 is 44.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 42 + 43?,45,46,44,47,A,The result of 42 + 43 is 45.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 43 + 44?,46,47,45,48,A,The result of 43 + 44 is 46.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 44 + 45?,47,48,46,49,A,The result of 44 + 45 is 47.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 45 + 46?,48,49,47,50,A,The result of 45 + 46 is 48.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 46 + 47?,49,50,48,51,A,The result of 46 + 47 is 49.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 47 + 48?,50,51,49,52,A,The result of 47 + 48 is 50.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 48 + 49?,51,52,50,53,A,The result of 48 + 49 is 51.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 49 + 50?,52,53,51,54,A,The result of 49 + 50 is 52.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 50 + 51?,53,54,52,55,A,The result of 50 + 51 is 53.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 51 + 52?,54,55,53,56,A,The result of 51 + 52 is 54.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 52 + 53?,55,56,54,57,A,The result of 52 + 53 is 55.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 53 + 54?,56,57,55,58,A,The result of 53 + 54 is 56.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 54 + 55?,57,58,56,59,A,The result of 54 + 55 is 57.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 55 + 56?,58,59,57,60,A,The result of 55 + 56 is 58.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 56 + 57?,59,60,58,61,A,The result of 56 + 57 is 59.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 57 + 58?,60,61,59,62,A,The result of 57 + 58 is 60.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 58 + 59?,61,62,60,63,A,The result of 58 + 59 is 61.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 59 + 60?,62,63,61,64,A,The result of 59 + 60 is 62.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 60 + 61?,63,64,62,65,A,The result of 60 + 61 is 63.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 61 + 62?,64,65,63,66,A,The result of 61 + 62 is 64.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 62 + 63?,65,66,64,67,A,The result of 62 + 63 is 65.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 63 + 64?,66,67,65,68,A,The result of 63 + 64 is 66.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 64 + 65?,67,68,66,69,A,The result of 64 + 65 is 67.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 65 + 66?,68,69,67,70,A,The result of 65 + 66 is 68.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 66 + 67?,69,70,68,71,A,The result of 66 + 67 is 69.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 67 + 68?,70,71,69,72,A,The result of 67 + 68 is 70.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 68 + 69?,71,72,70,73,A,The result of 68 + 69 is 71.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 69 + 70?,72,73,71,74,A,The result of 69 + 70 is 72.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 70 + 71?,73,74,72,75,A,The result of 70 + 71 is 73.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 71 + 72?,74,75,73,76,A,The result of 71 + 72 is 74.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 72 + 73?,75,76,74,77,A,The result of 72 + 73 is 75.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 73 + 74?,76,77,75,78,A,The result of 73 + 74 is 76.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 74 + 75?,77,78,76,79,A,The result of 74 + 75 is 77.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 75 + 76?,78,79,77,80,A,The result of 75 + 76 is 78.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 76 + 77?,79,80,78,81,A,The result of 76 + 77 is 79.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 77 + 78?,80,81,79,82,A,The result of 77 + 78 is 80.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 78 + 79?,81,82,80,83,A,The result of 78 + 79 is 81.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 79 + 80?,82,83,81,84,A,The result of 79 + 80 is 82.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 80 + 81?,83,84,82,85,A,The result of 80 + 81 is 83.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 81 + 82?,84,85,83,86,A,The result of 81 + 82 is 84.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 82 + 83?,85,86,84,87,A,The result of 82 + 83 is 85.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 83 + 84?,86,87,85,88,A,The result of 83 + 84 is 86.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 84 + 85?,87,88,86,89,A,The result of 84 + 85 is 87.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 85 + 86?,88,89,87,90,A,The result of 85 + 86 is 88.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 86 + 87?,89,90,88,91,A,The result of 86 + 87 is 89.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 87 + 88?,90,91,89,92,A,The result of 87 + 88 is 90.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 88 + 89?,91,92,90,93,A,The result of 88 + 89 is 91.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 89 + 90?,92,93,91,94,A,The result of 89 + 90 is 92.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 90 + 91?,93,94,92,95,A,The result of 90 + 91 is 93.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 91 + 92?,94,95,93,96,A,The result of 91 + 92 is 94.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 92 + 93?,95,96,94,97,A,The result of 92 + 93 is 95.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 93 + 94?,96,97,95,98,A,The result of 93 + 94 is 96.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 94 + 95?,97,98,96,99,A,The result of 94 + 95 is 97.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 95 + 96?,98,99,97,100,A,The result of 95 + 96 is 98.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 96 + 97?,99,100,98,101,A,The result of 96 + 97 is 99.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 97 + 98?,100,101,99,102,A,The result of 97 + 98 is 100.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 98 + 99?,101,102,100,103,A,The result of 98 + 99 is 101.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 99 + 100?,102,103,101,104,A,The result of 99 + 100 is 102.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 100 + 101?,103,104,102,105,A,The result of 100 + 101 is 103.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 101 + 102?,104,105,103,106,A,The result of 101 + 102 is 104.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 102 + 103?,105,106,104,107,A,The result of 102 + 103 is 105.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 103 + 104?,106,107,105,108,A,The result of 103 + 104 is 106.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 104 + 105?,107,108,106,109,A,The result of 104 + 105 is 107.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 105 + 106?,108,109,107,110,A,The result of 105 + 106 is 108.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 106 + 107?,109,110,108,111,A,The result of 106 + 107 is 109.
