Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 16?,Option A,Option B,Option C,Option D,A,This is the explanation for question 16.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 17?,Option A,Option B,Option C,Option D,A,This is the explanation for question 17.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 18?,Option A,Option B,Option C,Option D,A,This is the explanation for question 18.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 19?,Option A,Option B,Option C,Option D,A,This is the explanation for question 19.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 20?,Option A,Option B,Option C,Option D,A,This is the explanation for question 20.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 21?,Option A,Option B,Option C,Option D,A,This is the explanation for question 21.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 22?,Option A,Option B,Option C,Option D,A,This is the explanation for question 22.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 23?,Option A,Option B,Option C,Option D,A,This is the explanation for question 23.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 24?,Option A,Option B,Option C,Option D,A,This is the explanation for question 24.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 25?,Option A,Option B,Option C,Option D,A,This is the explanation for question 25.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 26?,Option A,Option B,Option C,Option D,A,This is the explanation for question 26.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 27?,Option A,Option B,Option C,Option D,A,This is the explanation for question 27.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 28?,Option A,Option B,Option C,Option D,A,This is the explanation for question 28.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 29?,Option A,Option B,Option C,Option D,A,This is the explanation for question 29.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 30?,Option A,Option B,Option C,Option D,A,This is the explanation for question 30.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 31?,Option A,Option B,Option C,Option D,A,This is the explanation for question 31.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 32?,Option A,Option B,Option C,Option D,A,This is the explanation for question 32.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 33?,Option A,Option B,Option C,Option D,A,This is the explanation for question 33.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 34?,Option A,Option B,Option C,Option D,A,This is the explanation for question 34.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 35?,Option A,Option B,Option C,Option D,A,This is the explanation for question 35.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 36?,Option A,Option B,Option C,Option D,A,This is the explanation for question 36.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 37?,Option A,Option B,Option C,Option D,A,This is the explanation for question 37.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 38?,Option A,Option B,Option C,Option D,A,This is the explanation for question 38.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 39?,Option A,Option B,Option C,Option D,A,This is the explanation for question 39.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 40?,Option A,Option B,Option C,Option D,A,This is the explanation for question 40.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 41?,Option A,Option B,Option C,Option D,A,This is the explanation for question 41.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 42?,Option A,Option B,Option C,Option D,A,This is the explanation for question 42.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 43?,Option A,Option B,Option C,Option D,A,This is the explanation for question 43.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 44?,Option A,Option B,Option C,Option D,A,This is the explanation for question 44.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 45?,Option A,Option B,Option C,Option D,A,This is the explanation for question 45.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 46?,Option A,Option B,Option C,Option D,A,This is the explanation for question 46.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 47?,Option A,Option B,Option C,Option D,A,This is the explanation for question 47.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 48?,Option A,Option B,Option C,Option D,A,This is the explanation for question 48.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 49?,Option A,Option B,Option C,Option D,A,This is the explanation for question 49.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 50?,Option A,Option B,Option C,Option D,A,This is the explanation for question 50.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 51?,Option A,Option B,Option C,Option D,A,This is the explanation for question 51.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 52?,Option A,Option B,Option C,Option D,A,This is the explanation for question 52.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 53?,Option A,Option B,Option C,Option D,A,This is the explanation for question 53.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 54?,Option A,Option B,Option C,Option D,A,This is the explanation for question 54.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 55?,Option A,Option B,Option C,Option D,A,This is the explanation for question 55.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 56?,Option A,Option B,Option C,Option D,A,This is the explanation for question 56.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 57?,Option A,Option B,Option C,Option D,A,This is the explanation for question 57.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 58?,Option A,Option B,Option C,Option D,A,This is the explanation for question 58.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 59?,Option A,Option B,Option C,Option D,A,This is the explanation for question 59.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 60?,Option A,Option B,Option C,Option D,A,This is the explanation for question 60.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 61?,Option A,Option B,Option C,Option D,A,This is the explanation for question 61.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 62?,Option A,Option B,Option C,Option D,A,This is the explanation for question 62.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 63?,Option A,Option B,Option C,Option D,A,This is the explanation for question 63.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 64?,Option A,Option B,Option C,Option D,A,This is the explanation for question 64.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 65?,Option A,Option B,Option C,Option D,A,This is the explanation for question 65.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 66?,Option A,Option B,Option C,Option D,A,This is the explanation for question 66.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 67?,Option A,Option B,Option C,Option D,A,This is the explanation for question 67.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 68?,Option A,Option B,Option C,Option D,A,This is the explanation for question 68.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 69?,Option A,Option B,Option C,Option D,A,This is the explanation for question 69.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 70?,Option A,Option B,Option C,Option D,A,This is the explanation for question 70.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 71?,Option A,Option B,Option C,Option D,A,This is the explanation for question 71.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 72?,Option A,Option B,Option C,Option D,A,This is the explanation for question 72.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 73?,Option A,Option B,Option C,Option D,A,This is the explanation for question 73.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 74?,Option A,Option B,Option C,Option D,A,This is the explanation for question 74.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 75?,Option A,Option B,Option C,Option D,A,This is the explanation for question 75.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 76?,Option A,Option B,Option C,Option D,A,This is the explanation for question 76.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 77?,Option A,Option B,Option C,Option D,A,This is the explanation for question 77.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 78?,Option A,Option B,Option C,Option D,A,This is the explanation for question 78.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 79?,Option A,Option B,Option C,Option D,A,This is the explanation for question 79.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 80?,Option A,Option B,Option C,Option D,A,This is the explanation for question 80.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 81?,Option A,Option B,Option C,Option D,A,This is the explanation for question 81.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 82?,Option A,Option B,Option C,Option D,A,This is the explanation for question 82.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 83?,Option A,Option B,Option C,Option D,A,This is the explanation for question 83.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 84?,Option A,Option B,Option C,Option D,A,This is the explanation for question 84.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 85?,Option A,Option B,Option C,Option D,A,This is the explanation for question 85.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 86?,Option A,Option B,Option C,Option D,A,This is the explanation for question 86.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 87?,Option A,Option B,Option C,Option D,A,This is the explanation for question 87.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 88?,Option A,Option B,Option C,Option D,A,This is the explanation for question 88.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 89?,Option A,Option B,Option C,Option D,A,This is the explanation for question 89.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 90?,Option A,Option B,Option C,Option D,A,This is the explanation for question 90.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 91?,Option A,Option B,Option C,Option D,A,This is the explanation for question 91.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 92?,Option A,Option B,Option C,Option D,A,This is the explanation for question 92.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 93?,Option A,Option B,Option C,Option D,A,This is the explanation for question 93.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 94?,Option A,Option B,Option C,Option D,A,This is the explanation for question 94.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 95?,Option A,Option B,Option C,Option D,A,This is the explanation for question 95.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 96?,Option A,Option B,Option C,Option D,A,This is the explanation for question 96.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 97?,Option A,Option B,Option C,Option D,A,This is the explanation for question 97.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 98?,Option A,Option B,Option C,Option D,A,This is the explanation for question 98.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 99?,Option A,Option B,Option C,Option D,A,This is the explanation for question 99.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 100?,Option A,Option B,Option C,Option D,A,This is the explanation for question 100.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 101?,Option A,Option B,Option C,Option D,A,This is the explanation for question 101.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 102?,Option A,Option B,Option C,Option D,A,This is the explanation for question 102.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 103?,Option A,Option B,Option C,Option D,A,This is the explanation for question 103.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 104?,Option A,Option B,Option C,Option D,A,This is the explanation for question 104.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 105?,Option A,Option B,Option C,Option D,A,This is the explanation for question 105.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 106?,Option A,Option B,Option C,Option D,A,This is the explanation for question 106.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 107?,Option A,Option B,Option C,Option D,A,This is the explanation for question 107.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 108?,Option A,Option B,Option C,Option D,A,This is the explanation for question 108.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 109?,Option A,Option B,Option C,Option D,A,This is the explanation for question 109.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 110?,Option A,Option B,Option C,Option D,A,This is the explanation for question 110.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 111?,Option A,Option B,Option C,Option D,A,This is the explanation for question 111.
Arithmetic Reasoning (AR),Arithmetic Reasoning (AR) Sample Question 112?,Option A,Option B,Option C,Option D,A,This is the explanation for question 112.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 1?,Option A,Option B,Option C,Option D,A,This is the explanation for question 113.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 2?,Option A,Option B,Option C,Option D,A,This is the explanation for question 114.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 3?,Option A,Option B,Option C,Option D,A,This is the explanation for question 115.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 4?,Option A,Option B,Option C,Option D,A,This is the explanation for question 116.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 5?,Option A,Option B,Option C,Option D,A,This is the explanation for question 117.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 6?,Option A,Option B,Option C,Option D,A,This is the explanation for question 118.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 7?,Option A,Option B,Option C,Option D,A,This is the explanation for question 119.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 8?,Option A,Option B,Option C,Option D,A,This is the explanation for question 120.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 9?,Option A,Option B,Option C,Option D,A,This is the explanation for question 121.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 10?,Option A,Option B,Option C,Option D,A,This is the explanation for question 122.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 11?,Option A,Option B,Option C,Option D,A,This is the explanation for question 123.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 12?,Option A,Option B,Option C,Option D,A,This is the explanation for question 124.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 13?,Option A,Option B,Option C,Option D,A,This is the explanation for question 125.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 14?,Option A,Option B,Option C,Option D,A,This is the explanation for question 126.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 15?,Option A,Option B,Option C,Option D,A,This is the explanation for question 127.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 16?,Option A,Option B,Option C,Option D,A,This is the explanation for question 128.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 17?,Option A,Option B,Option C,Option D,A,This is the explanation for question 129.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 18?,Option A,Option B,Option C,Option D,A,This is the explanation for question 130.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 19?,Option A,Option B,Option C,Option D,A,This is the explanation for question 131.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 20?,Option A,Option B,Option C,Option D,A,This is the explanation for question 132.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 21?,Option A,Option B,Option C,Option D,A,This is the explanation for question 133.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 22?,Option A,Option B,Option C,Option D,A,This is the explanation for question 134.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 23?,Option A,Option B,Option C,Option D,A,This is the explanation for question 135.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 24?,Option A,Option B,Option C,Option D,A,This is the explanation for question 136.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 25?,Option A,Option B,Option C,Option D,A,This is the explanation for question 137.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 26?,Option A,Option B,Option C,Option D,A,This is the explanation for question 138.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 27?,Option A,Option B,Option C,Option D,A,This is the explanation for question 139.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 28?,Option A,Option B,Option C,Option D,A,This is the explanation for question 140.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 29?,Option A,Option B,Option C,Option D,A,This is the explanation for question 141.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 30?,Option A,Option B,Option C,Option D,A,This is the explanation for question 142.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 31?,Option A,Option B,Option C,Option D,A,This is the explanation for question 143.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 32?,Option A,Option B,Option C,Option D,A,This is the explanation for question 144.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 33?,Option A,Option B,Option C,Option D,A,This is the explanation for question 145.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 34?,Option A,Option B,Option C,Option D,A,This is the explanation for question 146.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 35?,Option A,Option B,Option C,Option D,A,This is the explanation for question 147.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 36?,Option A,Option B,Option C,Option D,A,This is the explanation for question 148.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 37?,Option A,Option B,Option C,Option D,A,This is the explanation for question 149.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 38?,Option A,Option B,Option C,Option D,A,This is the explanation for question 150.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 39?,Option A,Option B,Option C,Option D,A,This is the explanation for question 151.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 40?,Option A,Option B,Option C,Option D,A,This is the explanation for question 152.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 41?,Option A,Option B,Option C,Option D,A,This is the explanation for question 153.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 42?,Option A,Option B,Option C,Option D,A,This is the explanation for question 154.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 43?,Option A,Option B,Option C,Option D,A,This is the explanation for question 155.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 44?,Option A,Option B,Option C,Option D,A,This is the explanation for question 156.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 45?,Option A,Option B,Option C,Option D,A,This is the explanation for question 157.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 46?,Option A,Option B,Option C,Option D,A,This is the explanation for question 158.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 47?,Option A,Option B,Option C,Option D,A,This is the explanation for question 159.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 48?,Option A,Option B,Option C,Option D,A,This is the explanation for question 160.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 49?,Option A,Option B,Option C,Option D,A,This is the explanation for question 161.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 50?,Option A,Option B,Option C,Option D,A,This is the explanation for question 162.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 51?,Option A,Option B,Option C,Option D,A,This is the explanation for question 163.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 52?,Option A,Option B,Option C,Option D,A,This is the explanation for question 164.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 53?,Option A,Option B,Option C,Option D,A,This is the explanation for question 165.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 54?,Option A,Option B,Option C,Option D,A,This is the explanation for question 166.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 55?,Option A,Option B,Option C,Option D,A,This is the explanation for question 167.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 56?,Option A,Option B,Option C,Option D,A,This is the explanation for question 168.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 57?,Option A,Option B,Option C,Option D,A,This is the explanation for question 169.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 58?,Option A,Option B,Option C,Option D,A,This is the explanation for question 170.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 59?,Option A,Option B,Option C,Option D,A,This is the explanation for question 171.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 60?,Option A,Option B,Option C,Option D,A,This is the explanation for question 172.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 61?,Option A,Option B,Option C,Option D,A,This is the explanation for question 173.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 62?,Option A,Option B,Option C,Option D,A,This is the explanation for question 174.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 63?,Option A,Option B,Option C,Option D,A,This is the explanation for question 175.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 64?,Option A,Option B,Option C,Option D,A,This is the explanation for question 176.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 65?,Option A,Option B,Option C,Option D,A,This is the explanation for question 177.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 66?,Option A,Option B,Option C,Option D,A,This is the explanation for question 178.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 67?,Option A,Option B,Option C,Option D,A,This is the explanation for question 179.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 68?,Option A,Option B,Option C,Option D,A,This is the explanation for question 180.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 69?,Option A,Option B,Option C,Option D,A,This is the explanation for question 181.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 70?,Option A,Option B,Option C,Option D,A,This is the explanation for question 182.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 71?,Option A,Option B,Option C,Option D,A,This is the explanation for question 183.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 72?,Option A,Option B,Option C,Option D,A,This is the explanation for question 184.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 73?,Option A,Option B,Option C,Option D,A,This is the explanation for question 185.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 74?,Option A,Option B,Option C,Option D,A,This is the explanation for question 186.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 75?,Option A,Option B,Option C,Option D,A,This is the explanation for question 187.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 76?,Option A,Option B,Option C,Option D,A,This is the explanation for question 188.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 77?,Option A,Option B,Option C,Option D,A,This is the explanation for question 189.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 78?,Option A,Option B,Option C,Option D,A,This is the explanation for question 190.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 79?,Option A,Option B,Option C,Option D,A,This is the explanation for question 191.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 80?,Option A,Option B,Option C,Option D,A,This is the explanation for question 192.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 81?,Option A,Option B,Option C,Option D,A,This is the explanation for question 193.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 82?,Option A,Option B,Option C,Option D,A,This is the explanation for question 194.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 83?,Option A,Option B,Option C,Option D,A,This is the explanation for question 195.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 84?,Option A,Option B,Option C,Option D,A,This is the explanation for question 196.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 85?,Option A,Option B,Option C,Option D,A,This is the explanation for question 197.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 86?,Option A,Option B,Option C,Option D,A,This is the explanation for question 198.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 87?,Option A,Option B,Option C,Option D,A,This is the explanation for question 199.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 88?,Option A,Option B,Option C,Option D,A,This is the explanation for question 200.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 89?,Option A,Option B,Option C,Option D,A,This is the explanation for question 201.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 90?,Option A,Option B,Option C,Option D,A,This is the explanation for question 202.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 91?,Option A,Option B,Option C,Option D,A,This is the explanation for question 203.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 92?,Option A,Option B,Option C,Option D,A,This is the explanation for question 204.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 93?,Option A,Option B,Option C,Option D,A,This is the explanation for question 205.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 94?,Option A,Option B,Option C,Option D,A,This is the explanation for question 206.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 95?,Option A,Option B,Option C,Option D,A,This is the explanation for question 207.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 96?,Option A,Option B,Option C,Option D,A,This is the explanation for question 208.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 97?,Option A,Option B,Option C,Option D,A,This is the explanation for question 209.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 98?,Option A,Option B,Option C,Option D,A,This is the explanation for question 210.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 99?,Option A,Option B,Option C,Option D,A,This is the explanation for question 211.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 100?,Option A,Option B,Option C,Option D,A,This is the explanation for question 212.
Word Knowledge (WK),Word Knowledge (WK) Sample Question 101?,Option A,Option B,Option C,Option D,A,This is the explanation for question 213.
